,Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,FIPS,Admin2
53380,Pennsylvania,US,103.0,0.0,0.0,0.0,40.70497338,-76.2150785,42107.0,Schuylkill
53381,Ohio,US,1.0,0.0,0.0,0.0,38.80270163,-82.98907345,39145.0,Scioto
53382,North Carolina,US,2.0,0.0,0.0,0.0,34.8386299,-79.4757978,37165.0,Scotland
53383,Arkansas,US,1.0,0.0,0.0,0.0,34.85588887,-94.0632176,5127.0,Scott
53384,Indiana,US,8.0,1.0,0.0,0.0,38.68672078,-85.74627859,18143.0,Scott
53385,Iowa,US,52.0,1.0,0.0,0.0,41.63935978,-90.61959493,19163.0,Scott
53386,Kentucky,US,14.0,0.0,0.0,0.0,38.29622293,-84.5816631,21209.0,Scott
53387,Minnesota,US,15.0,1.0,0.0,0.0,44.6490231,-93.53340251,27139.0,Scott
53388,Mississippi,US,23.0,0.0,0.0,0.0,32.406704100000006,-89.53789439,28123.0,Scott
53389,Missouri,US,10.0,0.0,0.0,0.0,37.05588075,-89.56474493,29201.0,Scott
53390,Tennessee,US,3.0,0.0,0.0,0.0,36.42325673,-84.50360494,47151.0,Scott
53391,Virginia,US,0.0,0.0,0.0,0.0,36.71466456,-82.60171704,51169.0,Scott
53392,Nebraska,US,6.0,0.0,0.0,0.0,41.85070896,-103.7080986,31157.0,Scotts Bluff
53393,Georgia,US,2.0,0.0,0.0,0.0,32.74976524,-81.60779441,13251.0,Screven
53394,Arkansas,US,5.0,0.0,0.0,0.0,35.9109364,-92.69936482,5129.0,Searcy
53395,Arkansas,US,8.0,0.0,0.0,0.0,35.19605503,-94.27162713,5131.0,Sebastian
53396,Kansas,US,124.0,1.0,0.0,0.0,37.6842718,-97.4608198,20173.0,Sedgwick
53397,Florida,US,194.0,1.0,0.0,0.0,28.7158582,-81.24060348,12117.0,Seminole
53398,Georgia,US,9.0,0.0,0.0,0.0,30.93464824,-84.86823924,13253.0,Seminole
53399,Oklahoma,US,3.0,1.0,0.0,0.0,35.16478725,-96.61686741,40133.0,Seminole
53400,New York,US,9.0,0.0,0.0,0.0,42.78081007,-76.82497064,36099.0,Seneca
53401,Ohio,US,6.0,1.0,0.0,0.0,41.12351311,-83.12783209,39147.0,Seneca
53402,Tennessee,US,2.0,0.0,0.0,0.0,35.36979721,-85.41022136,47153.0,Sequatchie
53403,Oklahoma,US,7.0,1.0,0.0,0.0,35.49447108,-94.75463785,40135.0,Sequoyah
53404,Arkansas,US,6.0,0.0,0.0,0.0,33.99780401,-94.2424869,5133.0,Sevier
53405,Tennessee,US,16.0,0.0,0.0,0.0,35.78077323,-83.52244332,47155.0,Sevier
53406,Nebraska,US,1.0,0.0,0.0,0.0,40.87241834,-97.139673,31159.0,Seward
53407,Mississippi,US,3.0,0.0,0.0,0.0,32.88149103,-90.8159538,28125.0,Sharkey
53408,Arkansas,US,1.0,0.0,0.0,0.0,36.16258158,-91.47819342,5135.0,Sharp
53409,California,US,20.0,3.0,0.0,0.0,40.76391419,-122.0396884,6089.0,Shasta
53410,Wisconsin,US,2.0,0.0,0.0,0.0,44.78902246,-88.76443896,55115.0,Shawano
53411,Kansas,US,40.0,2.0,0.0,0.0,39.04100763,-95.7557264,20177.0,Shawnee
53412,Wisconsin,US,21.0,2.0,0.0,0.0,43.72099677,-87.94579284,55117.0,Sheboygan
53413,Alabama,US,147.0,5.0,0.0,0.0,33.26879845,-86.66232561,1117.0,Shelby
53414,Indiana,US,45.0,0.0,0.0,0.0,39.52305623,-85.79158570000001,18145.0,Shelby
53415,Iowa,US,6.0,0.0,0.0,0.0,41.6850066,-95.31015553,19165.0,Shelby
53416,Kentucky,US,7.0,0.0,0.0,0.0,38.21476019,-85.194223,21211.0,Shelby
53417,Missouri,US,1.0,0.0,0.0,0.0,39.79742518,-92.07634971,29205.0,Shelby
53418,Ohio,US,17.0,0.0,0.0,0.0,40.33163494,-84.20258189,39149.0,Shelby
53419,Tennessee,US,766.0,13.0,0.0,0.0,35.1864775,-89.89692423,47157.0,Shelby
53420,Texas,US,12.0,0.0,0.0,0.0,31.79211404,-94.14550696,48419.0,Shelby
53421,Virginia,US,13.0,0.0,0.0,0.0,38.85905135,-78.56813762,51171.0,Shenandoah
53422,Minnesota,US,10.0,0.0,0.0,0.0,45.44447208,-93.77617511,27141.0,Sherburne
53423,Wyoming,US,12.0,0.0,0.0,0.0,44.79048913,-106.8862389,56033.0,Sheridan
53424,Oregon,US,1.0,0.0,0.0,0.0,45.41501554,-120.6827834,41055.0,Sherman
53425,Michigan,US,24.0,0.0,0.0,0.0,42.95392800000001,-84.14585902,26155.0,Shiawassee
53426,Minnesota,US,1.0,0.0,0.0,0.0,44.5796592,-94.23164924,27143.0,Sibley
53427,Montana,US,11.0,0.0,0.0,0.0,45.90018933,-112.6620092,30093.0,Silver Bow
53428,Kentucky,US,13.0,1.0,0.0,0.0,36.74058474,-86.58047435,21213.0,Simpson
53429,Mississippi,US,6.0,0.0,0.0,0.0,31.91282117,-89.91716179,28127.0,Simpson
53430,Iowa,US,7.0,0.0,0.0,0.0,43.08221074,-96.1767568,19167.0,Sioux
53431,North Dakota,US,1.0,0.0,0.0,0.0,46.11323337,-101.0440149,38085.0,Sioux
53432,California,US,4.0,0.0,0.0,0.0,41.59198861,-122.5407434,6093.0,Siskiyou
53433,Washington,US,161.0,4.0,0.0,0.0,48.48171488,-121.766131,53057.0,Skagit
53434,Washington,US,2.0,0.0,0.0,0.0,46.02408726,-121.9164403,53059.0,Skamania
53435,North Dakota,US,2.0,0.0,0.0,0.0,46.44737738,-103.4601547,38087.0,Slope
53436,Mississippi,US,11.0,0.0,0.0,0.0,32.01744532,-89.50644846,28129.0,Smith
53437,Tennessee,US,3.0,0.0,0.0,0.0,36.25359775,-85.95411046,47159.0,Smith
53438,Texas,US,62.0,2.0,0.0,0.0,32.37474036,-95.2717568,48423.0,Smith
53439,Virginia,US,2.0,0.0,0.0,0.0,36.84455636,-81.53344948,51173.0,Smyth
53440,Washington,US,1603.0,58.0,0.0,0.0,48.04615983,-121.7170703,53061.0,Snohomish
53441,Pennsylvania,US,8.0,1.0,0.0,0.0,40.77129231,-77.06840691,42109.0,Snyder
53442,New Mexico,US,7.0,0.0,0.0,0.0,34.00715494,-106.9298354,35053.0,Socorro
53443,California,US,73.0,1.0,0.0,0.0,38.26827353,-121.9357113,6095.0,Solano
53444,Maine,US,4.0,0.0,0.0,0.0,45.51229767,-69.95995554,23025.0,Somerset
53445,Maryland,US,4.0,0.0,0.0,0.0,38.1163542,-75.75118623,24039.0,Somerset
53446,New Jersey,US,902.0,31.0,0.0,0.0,40.56465737,-74.61683016,34035.0,Somerset
53447,Pennsylvania,US,6.0,0.0,0.0,0.0,39.97172723,-79.02699593,42111.0,Somerset
53448,California,US,111.0,2.0,0.0,0.0,38.52746429,-122.8862506,6097.0,Sonoma
53449,Virginia,US,5.0,0.0,0.0,0.0,36.72231125,-77.10642712,51175.0,Southampton
53450,Alaska,US,1.0,0.0,0.0,0.0,63.87692095,-143.2127643,2240.0,Southeast Fairbanks
53451,Georgia,US,41.0,2.0,0.0,0.0,33.26310031,-84.28013991,13255.0,Spalding
53452,South Carolina,US,88.0,1.0,0.0,0.0,34.92960077,-81.99225984,45083.0,Spartanburg
53453,Indiana,US,1.0,0.0,0.0,0.0,38.01519732,-87.0079644,18147.0,Spencer
53454,Kentucky,US,2.0,0.0,0.0,0.0,38.03223971,-85.32749335,21215.0,Spencer
